XpryDt,FinInstrmNm,TckrSymb,PCLOSE,OPEN,HIGH,LOW,CLOSE,SttlmPric,TtlTradgVol,OpnIntrst,RptgDt,TYPE,Week,Weekly Returns(%),Weekly Returns(%)
10/26/2023,FUTSTK,TATACONSUM,851,0,0,0,851,847.9,0,6300,29-Aug-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,851,850,860.45,850,858.85,858.85,11,10800,30-Aug-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,858.85,856.35,856.35,842.55,844.7,844.7,20,27000,31-Aug-23,3,,,
11/30/2023,FUTSTK,TATACONSUM,849.4,0,0,0,849.4,859.25,0,0,1-Sep-23,3,,,
11/30/2023,FUTSTK,TATACONSUM,849.4,0,0,0,849.4,860.6,0,0,4-Sep-23,3,,,
11/30/2023,FUTSTK,TATACONSUM,849.4,0,0,0,849.4,860.7,0,0,5-Sep-23,3,,,
11/30/2023,FUTSTK,TATACONSUM,849.4,889.9,897,886.4,891.65,891.65,12,5400,6-Sep-23,3,,,
11/30/2023,FUTSTK,TATACONSUM,891.65,872,872.95,868.8,872.9,872.9,13,10800,7-Sep-23,3,,,
11/30/2023,FUTSTK,TATACONSUM,872.9,871.15,871.15,868.2,868.25,868.25,15,24300,8-Sep-23,3,,,
11/30/2023,FUTSTK,TATACONSUM,868.25,877,877,875.6,875.6,875.6,5,24300,11-Sep-23,3,,,
11/30/2023,FUTSTK,TATACONSUM,875.6,880.25,885,872.25,874.5,878.25,15,25200,12-Sep-23,3,,,
11/30/2023,FUTSTK,TATACONSUM,874.5,879.15,900,879,900,900,17,26100,13-Sep-23,3,,,
11/30/2023,FUTSTK,TATACONSUM,900,900,900,897.85,897.85,898,5,27000,14-Sep-23,3,,,
11/30/2023,FUTSTK,TATACONSUM,897.85,897,897,888,891.4,889.05,6,29700,15-Sep-23,3,,,
11/30/2023,FUTSTK,TATACONSUM,891.4,891,891,891,891,893.65,1,30600,18-Sep-23,3,,,
11/30/2023,FUTSTK,TATACONSUM,891,889.35,889.35,880,881.05,881.9,11,36900,20-Sep-23,3,,,
11/30/2023,FUTSTK,TATACONSUM,881.05,879,884.9,879,880,883.05,6,38700,21-Sep-23,3,,,
11/30/2023,FUTSTK,TATACONSUM,880,886,899.1,883,893.6,889.75,17,41400,22-Sep-23,3,,,
11/30/2023,FUTSTK,TATACONSUM,893.6,888.35,917.75,888.35,913.9,913.9,28,41400,25-Sep-23,3,,,
11/30/2023,FUTSTK,TATACONSUM,913.9,917.5,917.5,907,907.95,907.95,38,60300,26-Sep-23,3,,,
11/30/2023,FUTSTK,TATACONSUM,907.95,907.95,907.95,900,902.45,902.45,36,75600,27-Sep-23,3,,,
11/30/2023,FUTSTK,TATACONSUM,902.45,901.95,905.95,883,885.95,885.95,43,93600,28-Sep-23,3,,,
12/28/2023,FUTSTK,TATACONSUM,892.35,896,896,896,896,892.6,1,900,29-Sep-23,3,,,
12/28/2023,FUTSTK,TATACONSUM,896,885.75,885.75,885.75,885.75,885.9,1,900,3-Oct-23,3,,,
12/28/2023,FUTSTK,TATACONSUM,885.75,875,878,875,878,878,2,1800,4-Oct-23,3,,,
12/28/2023,FUTSTK,TATACONSUM,878,873,877.55,873,875.7,875.7,6,6300,5-Oct-23,3,,,
12/28/2023,FUTSTK,TATACONSUM,875.7,886.6,890.9,886.6,890.7,888.3,6,6300,6-Oct-23,3,,,
12/28/2023,FUTSTK,TATACONSUM,890.7,884.1,891.45,884.1,891.45,893.8,4,6300,9-Oct-23,3,,,
12/28/2023,FUTSTK,TATACONSUM,891.45,898,901.65,898,901.65,901.85,13,15300,10-Oct-23,3,,,
12/28/2023,FUTSTK,TATACONSUM,901.65,0,0,0,901.65,901.3,0,15300,11-Oct-23,3,,,
12/28/2023,FUTSTK,TATACONSUM,901.65,0,0,0,901.65,905.15,0,15300,12-Oct-23,3,,,
12/28/2023,FUTSTK,TATACONSUM,901.65,912.65,926.7,912.3,926.65,926.65,13,21600,13-Oct-23,3,,,
12/28/2023,FUTSTK,TATACONSUM,926.65,925,925.2,922.85,925,920.9,4,23400,16-Oct-23,3,,,
12/28/2023,FUTSTK,TATACONSUM,925,925,938.05,922,922.35,922.35,13,33300,17-Oct-23,3,,,
12/28/2023,FUTSTK,TATACONSUM,922.35,913,916.85,913,913,907.55,5,31500,18-Oct-23,3,,,
12/28/2023,FUTSTK,TATACONSUM,913,0,0,0,913,907.05,0,31500,19-Oct-23,3,,,
12/28/2023,FUTSTK,TATACONSUM,913,907,908.45,901,908.45,908.45,7,34200,20-Oct-23,3,,,
12/28/2023,FUTSTK,TATACONSUM,908.45,908.6,916.75,893.25,895,895,39,55800,23-Oct-23,3,,,
12/28/2023,FUTSTK,TATACONSUM,895,901.6,905,896.65,898.65,898.65,59,85500,25-Oct-23,3,,,
12/28/2023,FUTSTK,TATACONSUM,898.65,891,895.5,886.55,891.55,891.55,22,92700,26-Oct-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,896.35,0,0,0,896.35,906,0,0,27-Oct-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,896.35,0,0,0,896.35,908.05,0,0,30-Oct-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,896.35,0,0,0,896.35,914.95,0,0,31-Oct-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,896.35,930,930,930,930,917.45,1,900,1-Nov-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,930,0,0,0,930,925.45,0,900,2-Nov-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,930,925.45,925.45,925.45,925.45,927.8,2,2700,3-Nov-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,925.45,933.7,933.7,933.7,933.7,932.3,1,3600,6-Nov-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,933.7,0,0,0,933.7,935.6,0,3600,7-Nov-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,933.7,0,0,0,933.7,929.6,0,3600,8-Nov-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,933.7,0,0,0,933.7,915.8,0,3600,9-Nov-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,933.7,914.8,925,912.8,924.7,924.7,24,18900,10-Nov-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,927.8,0,0,0,927.8,929,0,19800,13-Nov-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,927.8,929.8,941,929.8,940.3,940.3,7,21600,15-Nov-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,940.3,942.55,942.55,934,934.2,934.2,6,26100,16-Nov-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,934.2,935.85,946,934.05,944.2,944.2,24,19800,17-Nov-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,944.2,947.05,947.05,941,944.4,942.3,8,19800,20-Nov-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,944.4,940.6,943.45,938.95,942.85,938.85,4,19800,21-Nov-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,942.85,948,948,936.5,936.5,939.3,4,21600,22-Nov-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,936.5,941.95,943.15,941.95,942.85,942.85,24,36900,23-Nov-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,942.85,943.9,943.9,943.9,943.9,937.6,1,36900,24-Nov-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,943.9,940,943.9,940,943,941.9,4,36000,28-Nov-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,943,944.75,948.15,941.9,946.6,946.6,17,42300,29-Nov-23,3,,,
1/25/2024,FUTSTK,TATACONSUM,946.6,953.5,957.25,945,951.45,951.45,26,54000,30-Nov-23,3,,,
2/29/2024,FUTSTK,TATACONSUM,957.95,0,0,0,957.95,958.65,0,0,1-Dec-23,3,,,
2/29/2024,FUTSTK,TATACONSUM,957.95,0,0,0,957.95,962,0,0,4-Dec-23,3,,,
2/29/2024,FUTSTK,TATACONSUM,957.95,0,0,0,957.95,965.3,0,0,5-Dec-23,3,,,
2/29/2024,FUTSTK,TATACONSUM,957.95,0,0,0,957.95,966.8,0,0,6-Dec-23,3,,,
2/29/2024,FUTSTK,TATACONSUM,957.95,970.05,970.7,970.05,970.7,971.9,5,4500,7-Dec-23,3,,,
2/29/2024,FUTSTK,TATACONSUM,970.7,966.85,966.85,966.85,966.85,961.25,1,5400,8-Dec-23,3,,,
2/29/2024,FUTSTK,TATACONSUM,966.85,965,965,965,965,964.6,2,7200,11-Dec-23,3,,,
2/29/2024,FUTSTK,TATACONSUM,965,972,972,972,972,962.7,1,7200,12-Dec-23,3,,,
2/29/2024,FUTSTK,TATACONSUM,972,969.2,969.2,969.2,969.2,971.2,2,9000,13-Dec-23,3,,,
2/29/2024,FUTSTK,TATACONSUM,969.2,972.55,972.55,970,970.75,964.1,5,11700,14-Dec-23,3,,,
2/29/2024,FUTSTK,TATACONSUM,970.75,968,968,968,968,968.2,1,11700,15-Dec-23,3,,,
2/29/2024,FUTSTK,TATACONSUM,968,966.1,966.1,966.1,966.1,962.6,3,11700,18-Dec-23,3,,,
